Species,BxY_Slope,BxY_StErr,BxY_t.value,BxY_p.value,BxY_Intercept,BxY_F Stat,BxY_numDF,BxY_denDF,BxY_adj.r.squ,BxP_Slope,BxP_StErr,BxP_t.value,BxP_p.value,BxP_Intercept,BxP_F Stat,BxP_numDF,BxP_denDF,BxP_adj.r.squ,BxH_Slope,BxH_StErr,BxH_t.value,BxH_p.value,BxH_Intercept,BxH_F Stat,BxH_numDF,BxH_denDF,BxH_adj.r.squ,BxL_Slope,BxL_StErr,BxL_t.value,BxL_p.value,BxL_Intercept,BxL_F Stat,BxL_numDF,BxL_denDF,BxL_adj.r.squ
Psychrophila leptosepala (De Candolle) W. A. Weber,0.055381503,0.141540689,0.3912762,0.699946385,75.62814875,0.153097064,1,19,-0.044217545,0.000759422,0.000230272,3.297930152,0.003782948,122.2766298,10.87634329,1,19,0.330574033,-3.970776442,3.407182015,-1.165413654,0.258274424,217.1475118,1.358188985,1,19,0.017594344,-0.918697426,2.901052198,-0.316677317,0.754941491,179.6740257,0.100284523,1,19,-0.047104821
Pulsatilla patens (L.) P. Miller ssp multifida (Pritzel) Zamels,-0.027673294,0.116992248,-0.236539553,0.818958043,229.3377754,0.05595096,1,8,-0.117186543,0.000277272,0.000143752,1.928825521,0.089883421,151.0501968,3.720367889,1,8,0.232106015,-5.909908445,2.943841456,-2.00754984,0.079579814,221.6665109,4.030256362,1,8,0.251886267,-4.143335529,2.212376589,-1.872798487,0.097984592,148.7041529,3.507374175,1,8,0.217892817
Ranunculus adoneus A. Gray,-0.087472427,0.167926417,-0.52089736,0.606533644,361.6121092,0.271334059,1,28,-0.02577402,7.8194E-05,0.000277417,0.28186449,0.780120265,182.1840304,0.079447591,1,28,-0.03278385,-7.144743537,3.463172485,-2.06306315,0.04849034,245.5555315,4.256229561,1,28,0.100948859,-7.881469892,3.705550556,-2.126936274,0.042372256,136.799365,4.523857912,1,28,0.108346861
Ranunculus alismifolius Geyer ex Bentham var montanus S. Watson,-0.139002543,0.278857146,-0.49847223,0.623588893,465.9974666,0.248474564,1,20,-0.037115163,5.87278E-05,0.000465203,0.126241379,0.900801347,184.8359973,0.015936886,1,20,-0.04916398,-1.379236546,4.555313915,-0.302775302,0.765187745,200.9019026,0.091672883,1,20,-0.045209133,-0.972439406,4.885742748,-0.199036146,0.84424397,183.616595,0.039615387,1,20,-0.047924304
Ranunculus eschscholtzii Schlechtendal,-0.170318755,0.175199431,-0.97214217,0.343863372,531.0434357,0.9450604,1,18,-0.002899943,0.000662607,0.000272177,2.434474851,0.025549114,138.1589774,5.926667798,1,18,0.205906975,-4.281678099,2.905791823,-1.473497883,0.15788998,227.8462959,2.17119601,1,18,0.058062795,-3.142870337,4.030243501,-0.779821452,0.445629441,173.4003469,0.608121496,1,18,-0.021059541
Ranunculus inamoenus Greene,-0.413525286,0.223053135,-1.853931734,0.075127545,1008.006942,3.437062876,1,26,0.082788928,0.000109266,0.000404236,0.270303595,0.789060789,178.9683326,0.073064034,1,26,-0.035551478,-10.10709172,5.13163832,-1.969564317,0.059629622,269.4911043,3.879183598,1,26,0.096360852,-11.20525336,4.231869636,-2.647825743,0.013583331,117.2409432,7.010981166,1,26,0.182090352
Ranunculus macauleyi A. Gray,-0.227431738,0.272200206,-0.835531101,0.41103148,647.9161599,0.698112221,1,26,-0.011307458,0.000299214,0.000353825,0.845655487,0.405460608,171.865984,0.715133202,1,26,-0.010663125,-9.336088454,4.713292201,-1.980799844,0.058284753,270.944784,3.923568021,1,26,0.097701184,-10.36778295,4.501217987,-2.303328339,0.029512288,130.9777633,5.305321439,1,26,0.137526824
Ranunculus pedatifidus J. E. Smith,-0.587235407,0.346439799,-1.695057582,0.118150843,1360.054423,2.873220206,1,11,0.135024182,0.000814493,0.00058286,1.397409137,0.189837338,129.8188699,1.952752295,1,11,0.073555973,-22.78730792,6.033871888,-3.776564757,0.003065283,378.7678261,14.26244136,1,11,0.524986527,-18.9512654,6.549047821,-2.893743627,0.014607691,74.83659183,8.37375218,1,11,0.38060527
Rhodiola integrifolia Rafinesque,0.005838641,0.195061709,0.029932277,0.976358741,185.3881812,0.000895941,1,25,-0.03996273,0.00022547,0.000314546,0.716810914,0.480134536,178.7693183,0.513817887,1,25,-0.019055639,-0.389308161,4.356382752,-0.089365004,0.929503921,200.0863679,0.007986104,1,25,-0.039667884,-1.559392508,3.906276187,-0.399201806,0.693134289,187.2537232,0.159362082,1,25,-0.033412529
Ribes coloradense Coville,-0.469593903,0.193394034,-2.428171614,0.038096629,1118.489413,5.896017385,1,9,0.328679623,0.001412774,0.000353692,3.994362926,0.003137,65.23478192,15.95493519,1,9,0.599277661,-12.72007659,2.777515202,-4.579660475,0.001328461,291.4490751,20.97329006,1,9,0.666369625,-12.12634288,4.319927072,-2.807071203,0.020474762,111.0071066,7.879648737,1,9,0.40757061
