Species,BxY_Slope,BxY_StErr,BxY_t.value,BxY_p.value,BxY_Intercept,BxY_F Stat,BxY_numDF,BxY_denDF,BxY_adj.r.squ,BxP_Slope,BxP_StErr,BxP_t.value,BxP_p.value,BxP_Intercept,BxP_F Stat,BxP_numDF,BxP_denDF,BxP_adj.r.squ,BxH_Slope,BxH_StErr,BxH_t.value,BxH_p.value,BxH_Intercept,BxH_F Stat,BxH_numDF,BxH_denDF,BxH_adj.r.squ,BxL_Slope,BxL_StErr,BxL_t.value,BxL_p.value,BxL_Intercept,BxL_F Stat,BxL_numDF,BxL_denDF,BxL_adj.r.squ
Swertia perennis L.,-0.069767523,0.133154057,-0.523960925,0.603807319,357.163616,0.274535051,1,33,-0.021802407,0.000293262,0.000220111,1.332338732,0.191876908,194.7049939,1.775126496,1,33,0.022289682,-6.563509576,2.419142208,-2.713155744,0.010507785,271.0877837,7.361214091,1,33,0.157607105,-4.654690793,2.576302074,-1.806733318,0.079930113,189.1004563,3.264285281,1,33,0.062438437
Taraxacum ovinum Greene,0.209271588,0.254356325,0.822749693,0.422041701,-211.4986293,0.676917057,1,17,-0.018277109,0.000671815,0.000467075,1.438344041,0.168492144,148.8599574,2.068833581,1,17,0.056051335,-0.921222272,8.698715614,-0.105903252,0.916898735,209.5225071,0.011215499,1,17,-0.058125447,0.119010545,5.505351464,0.021617247,0.983004982,202.7590367,0.000467305,1,17,-0.058794425
Taraxacum scopulorum (A. Gray) Rydberg,0.181608362,0.263577321,0.689013611,0.501334238,-159.7489861,0.474739756,1,15,-0.033943074,-0.0001047,0.000418192,-0.250362736,0.805703562,209.6938029,0.062681499,1,15,-0.062227864,3.450487429,5.387700661,0.64043785,0.531550339,173.9481786,0.41016064,1,15,-0.038276003,4.455187459,5.266320862,0.845977216,0.410858396,229.4738893,0.715677449,1,15,-0.018091651
Tetraneuris acaulis (Pursh) Greene var caespitosa A. Nelson,-0.139855048,0.147876176,-0.945757805,0.354102842,465.2838937,0.894457826,1,23,-0.004417015,1.40599E-05,0.000240308,0.058507748,0.953849558,186.9421596,0.003423157,1,23,-0.04332298,2.238626106,3.670984355,0.609816303,0.54796152,169.5164169,0.371875923,1,23,-0.02687521,-1.303362633,4.13222662,-0.315414122,0.755291346,180.011664,0.099486069,1,23,-0.038984154
Thalictrum alpinum L.,-0.018786338,0.250634426,-0.074955139,0.940995076,237.382841,0.005618273,1,20,-0.049705124,0.000480426,0.00036078,1.33163288,0.197959721,160.4911398,1.773246127,1,20,0.03551359,-8.984934555,5.204051128,-1.726526957,0.099668132,271.2153641,2.980895332,1,20,0.086197483,-5.743928748,5.146490618,-1.116086509,0.277615558,163.5057635,1.245649096,1,20,0.011562325
Tonestus pygmaeus (Torrey & Gray) A. Nelson,-0.153060182,0.126329287,-1.211596973,0.233559719,509.3233882,1.467967226,1,36,0.012489795,0.000372886,0.000181032,2.059777246,0.046706307,175.7995531,4.242682303,1,36,0.080578185,-8.169838299,2.483272508,-3.289948354,0.00224726,271.3030618,10.82376017,1,36,0.209802889,-3.96721647,2.87881106,-1.378074624,0.176686011,180.505958,1.89908967,1,36,0.023723252
Townsendia rothrockii A. Gray ex Rothrock,-0.059656001,0.21601246,-0.276169258,0.786759707,311.210354,0.076269459,1,13,-0.070641749,0.000225226,0.000445427,0.505641566,0.621572659,175.2108108,0.255673393,1,13,-0.05615155,-2.285527507,7.188453197,-0.31794427,0.755576773,211.4746807,0.101088559,1,13,-0.068613492,0.428361754,4.786546737,0.089492859,0.930054306,195.6612688,0.008008972,1,13,-0.07626002
Trifolium attenuatum Greene,-0.426194901,0.255314182,-1.669295838,0.109228695,1046.240036,2.786548594,1,22,0.072077344,-0.000684611,0.000422575,-1.620092947,0.119459247,255.9289811,2.624701158,1,22,0.065978513,1.289036153,5.511170149,0.233895183,0.817229178,189.7952135,0.054706957,1,22,-0.042861283,1.039046826,5.210504309,0.199413869,0.843770618,206.475636,0.039765891,1,22,-0.043568254
Trifolium dasyphyllum Torrey & Gray,-0.266666441,0.165839516,-1.60797889,0.117663207,716.2721001,2.585596111,1,32,0.045845563,2.69878E-05,0.000244635,0.110318908,0.91284545,184.6511079,0.012170261,1,32,-0.030857943,-3.618512026,3.490205694,-1.036761825,0.307618187,215.9468421,1.074875082,1,32,0.002263805,-5.799196091,3.036056569,-1.91010805,0.065116763,150.4698083,3.648512761,1,32,0.074295182
Trifolium nanum Torrey,-0.305194805,0.17385353,-1.755470854,0.089386508,792.5377435,3.08167792,1,30,0.062925403,0.000178004,0.000302495,0.588451834,0.560633678,172.2734035,0.346275561,1,30,-0.021542164,-7.316400205,4.07955092,-1.793432745,0.082991009,245.7042069,3.216401011,1,30,0.066726103,-7.884474996,3.724959754,-2.116660452,0.042693884,138.0735881,4.48025147,1,30,0.100934631
Trifolium salictorum Greene ex Rydberg,0.12137322,0.302364426,0.401413691,0.698624686,-35.16462426,0.161132952,1,8,-0.102788063,0.000980639,0.00035589,2.755455681,0.024848587,127.9445774,7.592536013,1,8,0.422800756,-7.564435139,5.332388459,-1.41858291,0.193780955,265.9743342,2.012377473,1,8,0.101112595,-4.272977887,7.643869849,-0.559007148,0.591456947,177.7820224,0.312488992,1,8,-0.082708201
Trisetum spicatum (L.) Richter ssp alaskanum (Nash) Hultén,-0.540610786,0.2556916,-2.114307967,0.0438665,1276.836549,4.470298178,1,27,0.110272173,0.000264434,0.000431057,0.613454768,0.544709556,182.2331889,0.376326752,1,27,-0.02278148,-10.64919529,4.382062437,-2.430178812,0.022015554,290.419604,5.905769058,1,27,0.149085379,-12.94170312,4.558390356,-2.839094968,0.008491092,122.5305701,8.060460238,1,27,0.201379565
Trisetum spicatum (L.) Richter ssp congdonii (Scribner & Merrill) Hultén,-0.194665891,0.17532619,-1.110306968,0.274228132,589.1537581,1.232781562,1,36,0.006252059,-8.75516E-05,0.000257524,-0.339974291,0.735851603,209.8523011,0.115582518,1,36,-0.024488529,-9.111185675,3.226107987,-2.824203564,0.00767872,276.1058636,7.976125771,1,36,0.158634387,-7.748068319,3.390957584,-2.284920447,0.028313987,154.8700916,5.22086145,1,36,0.102396246
Trollius albiflorus (A. Gray) Rydberg,-0.255152027,0.131221745,-1.944434043,0.062736629,687.3225968,3.780823749,1,26,0.093376321,0.000629725,0.000191028,3.296502162,0.002833267,129.2333043,10.8669265,1,26,0.267636265,-6.653173617,2.32190653,-2.865392525,0.008139246,235.0640918,8.210474325,1,26,0.210768031,-5.869843995,2.932315298,-2.001777913,0.055844959,144.4077359,4.007114811,1,26,0.100213394
Tryphane rubella (Wahlenberg) Reichenbach,-0.175332313,0.129562089,-1.353268643,0.191852784,545.4700073,1.831336019,1,19,0.039907955,0.000304978,0.000214571,1.421336563,0.171425278,172.9051972,2.020197624,1,19,0.04853416,-6.642529722,2.152035137,-3.086626983,0.006073408,251.4804743,9.527266134,1,19,0.298916345,-6.045037514,2.590499821,-2.333540989,0.030758222,160.0592145,5.445413545,1,19,0.181850617
Vaccinium cespitosum Michaux,-0.273678666,0.178783276,-1.530784488,0.144218457,728.6842768,2.343301149,1,17,0.06944529,9.05396E-05,0.000273792,0.330687495,0.744921347,177.6708682,0.109354219,1,17,-0.052056072,-5.032114161,3.007851792,-1.672992723,0.11262917,226.7135779,2.798904652,1,17,0.090858797,-4.840090055,3.53433386,-1.369449024,0.188679353,155.8652053,1.875390629,1,17,0.046377352
Vaccinium myrtillus L. ssp oreophilum (Rydberg) Löve et al.,-0.764915078,0.300690306,-2.543863441,0.023394094,1710.893494,6.471241208,1,14,0.267264752,4.48855E-05,0.000477652,0.093971183,0.926463699,187.7371867,0.008830583,1,14,-0.070753187,-9.606120819,5.776023347,-1.663102838,0.118507632,269.2770978,2.765911049,1,14,0.105327473,-10.66065506,5.916039912,-1.80199174,0.093113213,124.5152379,3.247174232,1,14,0.130292314
Valeriana capitata Pallas ex Link ssp acutiloba (Rydberg) F. G. Meyer,-0.060948795,0.195629121,-0.311552772,0.758604802,315.1884671,0.097065129,1,20,-0.044928693,0.000505023,0.000315237,1.602041175,0.124823619,153.0949196,2.566535927,1,20,0.069418538,-5.122229275,4.73825263,-1.081037605,0.292543934,235.1701826,1.168642304,1,20,0.007966609,-4.117976495,3.965757395,-1.038383362,0.311483381,168.4506117,1.078240006,1,20,0.003711885
Valeriana edulis Nuttall,-0.339766023,0.194686709,-1.745193732,0.094905325,866.8757124,3.04570116,1,22,0.081678734,4.74449E-05,0.00038021,0.12478606,0.901826143,188.778826,0.015571561,1,22,-0.044715098,-7.116928632,3.614426072,-1.969034223,0.061672447,251.4020856,3.877095772,1,22,0.111183102,-10.89208226,4.269591677,-2.551082886,0.018209572,125.0722195,6.50802389,1,22,0.1932096
Veronica nutans Bongard,-0.002484378,0.146182986,-0.016994984,0.986587186,209.3213531,0.000288829,1,23,-0.043465157,0.000404357,0.000284213,1.422725147,0.16823824,172.0617213,2.024146843,1,23,0.040926344,-6.917993418,3.626061696,-1.907853202,0.068971728,259.8158945,3.639903842,1,23,0.099095847,-6.556590408,2.618710863,-2.503747359,0.019829495,162.7656509,6.268750839,1,23,0.180012836
Viola labradorica Schrank,-0.245104675,0.16410503,-1.493584166,0.146879599,675.8921599,2.230793662,1,27,0.042106064,0.000549091,0.00029296,1.874283508,0.071750252,144.1075889,3.512938669,1,27,0.082356495,-8.806165842,2.983418083,-2.951703582,0.0064657,259.0723801,8.712554039,1,27,0.215961984,-4.316235846,2.952497306,-1.461893238,0.15531298,161.9654651,2.137131838,1,27,0.039026897
